         73528744 function calls (68824215 primitive calls) in 208.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   115945    0.085    0.000    0.668    0.000 re.py:232(compile)
    46627    0.084    0.000    0.145    0.000 queues.py:176(get_nowait)
   258284    0.082    0.000    0.082    0.000 {method 'append' of 'collections.deque' objects}
    46027    0.080    0.000   41.378    0.001 __init__.py:11(to_dict)
    46768    0.080    0.000    0.080    0.000 items.py:28(id)
    25009    0.080    0.000   11.608    0.000 selector_events.py:774(_read_ready)
    27000    0.078    0.000    0.078    0.000 {method 'search' of 're.Pattern' objects}
    12970    0.077    0.000    0.077    0.000 {method 'replace' of 'datetime.datetime' objects}
    25896    0.077    0.000    0.077    0.000 {method 'sub' of 're.Pattern' objects}
    14634    0.075    0.000    0.075    0.000 {built-in method zlib.decompressobj}
    41/40    0.069    0.002    0.072    0.002 {built-in method _imp.create_dynamic}
    46768    0.069    0.000    0.087    0.000 queues.py:56(_put)
    31550    0.069    0.000    0.069    0.000 {method 'unpack_from' of 'Struct' objects}
    46627    0.068    0.000    0.092    0.000 queues.py:187(task_done)
    93395    0.068    0.000    0.266    0.000 queues.py:61(_wakeup_next)
     7317    0.066    0.000    0.183    0.000 gzip.py:378(__init__)
    26821    0.065    0.000    0.065    0.000 {method 'groupdict' of 're.Match' objects}
    13012    0.064    0.000    0.064    0.000 {method 'copy' of 'dict' objects}
    25754    0.063    0.000    0.063    0.000 selectors.py:275(_key_from_fd)
     3927    0.062    0.000    0.606    0.000 depth.py:124(snapshot)
     5343    0.059    0.000    2.941    0.001 bitmex.py:37(dispatch_ws_msg)
1598/1552    0.055    0.000    0.220    0.000 {built-in method builtins.__build_class__}
    39022    0.054    0.000    0.054    0.000 {method 'pop' of 'dict' objects}
    14634    0.053    0.000    0.144    0.000 gzip.py:405(_read_gzip_header)
     3063    0.053    0.000    0.053    0.000 {built-in method posix.stat}
       82    0.051    0.001    0.051    0.001 {method 'acquire' of '_thread.lock' objects}
    12862    0.049    0.000    4.756    0.000 api.py:17(get)
    16150    0.049    0.000    0.158    0.000 operations.py:141(__init__)
