         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42052    0.555    0.000   27.381    0.001 bitflyer.py:30(dispatch_ws_msg)
   290971    0.532    0.000    0.793    0.000 queues.py:187(task_done)
    53885    0.531    0.000   26.692    0.000 bitmex.py:37(dispatch_ws_msg)
   290890    0.526    0.000  167.198    0.001 dataclasses.py:992(asdict)
   297231    0.526    0.000    1.143    0.000 _factories.py:11(factory_utcnow)
   291279    0.517    0.000    7.385    0.000 __init__.py:88(tunnel_put)
    29089    0.504    0.000    0.885    0.000 database.py:58(__init__)
    62224    0.503    0.000    1.160    0.000 gzip.py:378(__init__)
   239106    0.489    0.000    0.489    0.000 {method 'unpack_from' of 'Struct' objects}
   119643    0.487    0.000    0.665    0.000 arrow.py:60(__init__)
   232989    0.473    0.000    0.473    0.000 selectors.py:275(_key_from_fd)
    29696    0.438    0.000    0.559    0.000 {built-in method builtins.sorted}
    29089    0.436    0.000    0.436    0.000 {method 'put' of '_queue.SimpleQueue' objects}
   119591    0.427    0.000   38.556    0.000 api.py:17(get)
   124448    0.424    0.000    0.424    0.000 {built-in method zlib.decompressobj}
   124448    0.418    0.000    1.071    0.000 gzip.py:405(_read_gzip_header)
   291279    0.408    0.000    0.408    0.000 items.py:28(id)
   180916    0.407    0.000    0.407    0.000 {method 'groupdict' of 're.Match' objects}
    10234    0.405    0.000    9.669    0.001 bitflyer.py:56(<listcomp>)
   119591    0.397    0.000    0.692    0.000 locales.py:10(get_locale)
   290890    0.392    0.000  167.591    0.001 __init__.py:11(to_dict)
    10374    0.379    0.000    0.379    0.000 depth.py:126(<listcomp>)
  1410648    0.376    0.000    0.376    0.000 {method 'done' of '_asyncio.Future' objects}
    10374    0.375    0.000    0.375    0.000 depth.py:135(<listcomp>)
   242657    0.352    0.000    0.352    0.000 {method 'split' of 'str' objects}
   216584    0.350    0.000    0.350    0.000 {built-in method zlib.crc32}
   291279    0.339    0.000    0.339    0.000 queues.py:100(full)
    29089    0.335    0.000    3.790    0.000 metaprogramming.py:45(method)
    50859    0.335    0.000    0.335    0.000 bitmex.py:91(<listcomp>)
   121240    0.334    0.000    0.334    0.000 {method 'update' of 'dict' objects}
   291279    0.333    0.000    0.441    0.000 queues.py:56(_put)
   119591    0.332    0.000   18.603    0.000 parser.py:271(_parse_multiformat)
   239342    0.329    0.000    2.297    0.000 re.py:185(sub)
   327196    0.320    0.000    0.320    0.000 {method 'pop' of 'dict' objects}
    62224    0.320    0.000    0.463    0.000 __init__.py:244(detect_encoding)
    29112    0.319    0.000    0.406    0.000 threading.py:216(__init__)
    50859    0.315    0.000    0.315    0.000 bitmex.py:95(<listcomp>)
   689147    0.312    0.000    0.312    0.000 enum.py:619(value)
    29089    0.310    0.000    1.621    0.000 core.py:513(__init__)
    27910    0.309    0.000    3.422    0.000 binance.py:86(_handle_depth)
    62224    0.304    0.000    0.360    0.000 _compression.py:59(close)
   119594    0.294    0.000    0.294    0.000 {method 'finditer' of 're.Pattern' objects}
   119799    0.288    0.000    0.288    0.000 {method 'split' of 're.Pattern' objects}
